```python
def rotate(nums, k):
    k = k % len(nums)
    if k == 0:
        return nums
    return nums[-k:] + nums[:-k]
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB     4.907 s
load        engine construction            6.819 s
load        artifact/materialize           6.684 s
load        host to device                 4.907 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.344 s
generate    decode                         0.814 s
generate    total                          1.158 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             83
summary     reused prompt tokens      0
summary     generated tokens          45
summary     model elapsed             1.157 s
summary     prefill speed             241.45 tok/s
summary     decode speed              54.08 tok/s
summary     throughput (overall)      38.88 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         119.18 MiB / 119.18 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       141.97 MiB
summary     free after weights        179.06 MiB
summary     free after startup        45.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             37.09 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          2
summary     mtp rounds                15
summary     mtp fallback steps        0
summary     mtp drafted tokens        30
summary     mtp accepted tokens       30
summary     mtp acceptance rate       100.00%
summary     mtp acceptance length     3.00 tok/round
summary     mtp accepted by pos       15,15
