```typescript
/**
 * Generates a greeting message for the given name.
 *
 * @param name - The name of the person to greet.
 * @returns A string in the format 'Hello, {name}!'.
 *
 * @example
 * ```ts
 * greet('Alice'); // Returns 'Hello, Alice!'
 * ```
 */
function greet(name: string): string {
  return `Hello, ${name}!`;
}
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      15.17 GiB     0.000 s
load        weights                    100.00%     15.17 GiB /      15.17 GiB     5.132 s
load        engine construction            7.053 s
load        artifact/materialize           6.921 s
load        host to device                 5.132 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        15.18 GiB
summary     weight H2D                15.17 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.227 s
generate    decode                         2.028 s
generate    total                          2.256 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             47
summary     reused prompt tokens      0
summary     generated tokens          101
summary     model elapsed             2.255 s
summary     prefill speed             206.72 tok/s
summary     decode speed              49.32 tok/s
summary     throughput (overall)      44.79 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          15.17 GiB / 15.17 GiB
summary     gpu sequence used         121.38 MiB / 121.38 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        4.89 MiB / 10.79 MiB
summary     runtime reservation       144.17 MiB
summary     free after weights        179.06 MiB
summary     free after startup        43.06 MiB
summary     KV capacity headroom      0 B
summary     planned slack             34.90 MiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      15.31 GiB
summary     mtp draft window          3
summary     mtp rounds                33
summary     mtp fallback steps        0
summary     mtp drafted tokens        99
summary     mtp accepted tokens       69
summary     mtp acceptance rate       69.70%
summary     mtp acceptance length     3.09 tok/round
summary     mtp accepted by pos       27,23,19
